Address
Ahtme Grossi kpl (valge)
Ahtme Maxima
Alatskivi Konsum (valge)
Antsla Konsum (valge)
Auriga Keskus
Elva Maxima
Elva mini-Rimi
Haapsalu Kaubamaja Konsum (valge)
Haapsalu Rimi
Haapsalu Uuemõisa Konsum (valge)
Haljala Grossi kpl
Imavere Alexela
Järvakandi Grossi kpl (valge)
Jõgeva Kaubahall
Jõgeva Pae Konsum
Jõhvi Grossi kpl
Jõhvi Pargi keskus (valge)
Jõhvi Tsentraal
Jüri Konsum
Kadrina Grossi kpl (valge)
Kehra Grossi kpl
Keila Grossi kpl
Keila Jaama kauplus (valge)
Keila Selver
Kiili Maxima
Kilingi-Nõmme Konsum (valge)
Kiviõli K5 keskus
Kohila Konsum
Kohtla-Järve mini-Rimi (valge)
Kose Grossi kpl pakimajake (valge)
Kunda Grossi kpl (valge)
Kuressaare Kihelkonna mini-Rimi
Kuressaare Saare Selver
Kuressaare Wow keskus (valge)
Kuusalu Grossi kpl
Kuusalu Meie pood (valge)
Kärdla Hiiu Konsum (valge)
Kärdla Selver
Laagri Maksimarket
Laagri Selver
Laulasmaa Selver ABC (valge)
Leesi poemaja (valge)
Loo Grossi kpl
Maardu Maxima
Maardu Pärli Keskus
Mustla Konsum (valge)
Mustvee konsum (valge)
Muuga Maxima
Märjamaa Konsum
Narva Astri Keskus
Narva Fama Keskus (valge)
Narva Kerese Keskus (valge)
Narva Prisma
Narva Tiimani Maxima (valge)
Orissaare bussijaam (valge)
Otepää Maxima
Paide Maksimarket
Paide Maxima (valge)
Paide Selver
Paikuse Konsum
Paldiski Grossi kpl pakimajake (valge)
Peetri Keskus (valge)
Peetri Selver
Pärnu Jaagupi kauplus (valge)
Pärnu Kaubamajakas
Pärnu Keskus
Pärnu Mai Selver
Pärnu Maksimarket
Pärnu Maxima XXX
Pärnu Port Artur 2
Pärnu Turg (valge)
Pärnu Ülejõe Selver
Põltsamaa Selver
Põlva Edu Keskus
Põlva Selver (valge)
Rakvere Kroonikeskus
Rakvere Põhjakeskus
Rakvere Vaala Keskus
Rannarootsi Keskus
Rapla Maxima
Rapla Selver
Raudalu Konsum
Räpina Maxima
Rõngu Konsum (valge)
Saku Selver
Saue Maxima
Saue Rimi
Sauga Konsum
Sillamäe Maxima X, Viru pst (valge)
Sillamäe Maxima XX
Sindi Konsum (valge)
Tabasalu Rimi
Tallinna Arsenali Keskus
Tallinna Astangu Rimi
Tallinna Balti Jaama Turg
Tallinna Finest ärimaja
Tallinna Haabersti Rimi
Tallinna Hiiu Rimi
Tallinna Idakeskus (valge)
Tallinna Järve Keskus
Tallinna Kadaka Selver
Tallinna Kakumäe Selver
Tallinna Kaubamaja
Tallinna Kivila Gross (valge)
Tallinna Kolde Selver
Tallinna Kollane keskus (valge)
Tallinna Kristiine Keskus 1.korrus
Tallinna Kristiine Keskus 2.korrus
Tallinna Kärberi Selver
Tallinna Lasnamäe Centrum (RIMI)
Tallinna Lasnamäe Maksimarket
Tallinna Lasnamäe Prisma
Tallinna Linnamäe Konsum (valge)
Tallinna Läänemere Selver
Tallinna Magistrali Keskus
Tallinna Marienthali Selver (valge)
Tallinna Marja Grossi kpl
Tallinna Merimetsa Selver
Tallinna Mustamäe Keskus
Tallinna Mustika Prisma
Tallinna Männiku Rimi
Tallinna Nautica Keskus
Tallinna Nurmenuku Rimi
Tallinna Nõmme keskus (valge)
Tallinna Paasiku Grossi kpl (valge)
Tallinna Pelgulinna Selver (valge)
Tallinna Pirita Keskus
Tallinna Pirita Selver
Tallinna Priisle Maxima XXX
Tallinna Pääsküla Maxima (valge)
Tallinna Rocca Al Mare Keskus
Tallinna Sadam D-terminal (valge)
Tallinna Sikupilli Prisma
Tallinna Smuuli Maxima
Tallinna Solaris Keskus
Tallinna Stockmann
Tallinna Stroomi Keskus
Tallinna Sõpruse Rimi
Tallinna Sõpruse pst Maxima (valge)
Tallinna T1 Kaubanduskeskus
Tallinna Tondi Selver
Tallinna Torupilli Selver
Tallinna Tähesaju Selver
Tallinna Tööstuse Rimi (valge)
Tallinna Vilde tee Maxima XX
Tallinna Virbi Maxima (valge)
Tallinna Viru Keskus
Tallinna Õismäe Maxima XX (valge)
Tallinna Ülemiste keskus
Tammiste Konsum (valge)
Tapa Bussijaam
Tapa Konsum
Tartu Aardla Selver
Tartu Anne Prisma
Tartu Anne Selver
Tartu Eeden
Tartu Kaubamaja   -1 korrus
Tartu Kaubamaja 0 korrus
Tartu Kivilinna Konsum (valge)
Tartu Kvartal
Tartu Lembitu Konsum
Tartu Lõunakeskuse Rimi
Tartu Märja Konsum (valge)
Tartu Mõisavahe Konsum (valge)
Tartu Raadi Grossi kpl (valge)
Tartu Raadi Maxima
Tartu Raadimõisa Konsum (valge)
Tartu Raatuse Selver ABC (valge)
Tartu Rebase Rimi
Tartu Ringtee Selver
Tartu Saare Maxima
Tartu Sepa Rimi (valge)
Tartu Sõbra Selver (valge)
Tartu Sõbrakeskus
Tartu Tasku
Tartu Tuglase Rimi
Tartu Ujula Konsum (valge)
Tartu Vahi Selver
Tartu Veeriku Selver
Tõrva Maxima
Tõrva Tikste Konsum (valge)
Tõrvandi Konsum (valge)
Türi Grossi kpl pakimajake (valge)
Türi mini-Rimi
Valga Selver
Valga Siili Konsum (valge)
Vana Pärnu Selver ABC
Vastseliina Konsum (valge)
Viimsi Kaubanduskeskus (Delice)
Viimsi Keskus (Selver)
Viimsi Maxima
Viljandi Centrum
Viljandi Maksimarket (valge)
Viljandi Männimäe Selver
Viljandi Turu Konsum
Viljandi Uku keskus
Viljandi Vaksali Maxima (valge)
Vändra Konsum
Võhma Meie pood (valge)
Võru Kagukeskus
Võru Maksimarket (valge)
Võru Rimi
Ülenurme Konsum
